image_id,text,img_fns
31GO0eUnE7L,"[('lOLB', 0.6722544431686401)]",G:\My Drive\Colab Notebooks\git\images\31GO0eUnE7L.jpg
31HOaPtWAGS,"[('80 cm', 0.9934297800064087), ('36 cm', 0.9854022860527039), ('15', 0.5940564870834351), ('cm', 0.9924821853637695)]",G:\My Drive\Colab Notebooks\git\images\31HOaPtWAGS.jpg
31Fh8XDXKmL,"[('220V', 0.9984439611434937)]",G:\My Drive\Colab Notebooks\git\images\31Fh8XDXKmL.jpg
31GGjka5fcL,"[('6.29 in / 16 cm', 0.9845216274261475), ('8.26 in / 21 cm', 0.9794961810112)]",G:\My Drive\Colab Notebooks\git\images\31GGjka5fcL.jpg
31FCBht4h-L,"[('1.3 in/3.3cm', 0.9565111994743347), ('3.14 in/8 cm', 0.905062735080719)]",G:\My Drive\Colab Notebooks\git\images\31FCBht4h-L.jpg
31EES5Hi6CL,[],G:\My Drive\Colab Notebooks\git\images\31EES5Hi6CL.jpg
31GKLavjhUL,"[('60 cm', 0.9742250442504883)]",G:\My Drive\Colab Notebooks\git\images\31GKLavjhUL.jpg
31GKAhbIN8L,"[('60cm23.6', 0.9950215816497803), ('24 cm(9.4"")', 0.976554274559021), ('175 cm(68.9"")', 0.9857285022735596)]",G:\My Drive\Colab Notebooks\git\images\31GKAhbIN8L.jpg
31GWCSzvXfL,"[('swan.', 0.9842398762702942), ('swan.', 0.9063053131103516), ('70%', 0.9981985092163086), ('70%', 0.999673068523407), ('RCOT', 0.5901911854743958), ('OOT', 0.5549483299255371)]",G:\My Drive\Colab Notebooks\git\images\31GWCSzvXfL.jpg
31Fr-EuWQcL,"[('32mm', 0.9997723698616028), ('Moto', 0.8424416780471802), ('25mm', 0.9992514848709106), ('CF-9', 0.9875457286834717), ('20g', 0.9990174174308777)]",G:\My Drive\Colab Notebooks\git\images\31Fr-EuWQcL.jpg
31L3YQLwF3L,"[('Radiate', 0.9967924952507019), ('KOMBUCHA', 0.9735105037689209), ('FLOWER', 0.9987069964408875), ('POWER', 0.9987409710884094), ('HoasssFlower', 0.6478041410446167), ('Samongraes', 0.8150030970573425)]",G:\My Drive\Colab Notebooks\git\images\31L3YQLwF3L.jpg
31L5f9HtrRL,"[('18VLTHIN', 0.6782805919647217), ('1.5A', 0.9125063419342041)]",G:\My Drive\Colab Notebooks\git\images\31L5f9HtrRL.jpg
31N12Io5QzL,"[(""What's in the Box?."", 0.9402914643287659), ('Nursery Pal Link Premium Twin', 0.9375433921813965), ('5""PARENT UNIT', 0.8721797466278076), ('HUBSLECLUB', 0.90895015001297), ('WITH SPLIT-SCREEN', 0.955094039440155), ('SERVICES', 0.9974958300590515)]",G:\My Drive\Colab Notebooks\git\images\31N12Io5QzL.jpg
31MSh7g6jHL,"[('HMP', 0.9896025657653809), ('MUSCLE', 0.9976844787597656), ('&JOINT', 0.9887399673461914), ('RECOVERYCREAM', 0.9931977987289429), ('ACHING BACK KNEE,WRISTHAND', 0.9171125888824463), ('RELIEVES', 0.9214707612991333), ('ANKLE&FOOTES', 0.8447323441505432), ('ARNICA-BOSWELLIA', 0.960868239402771), ('MAGNESIUM-MENTHOL-MS', 0.9635424613952637), ('HEMP', 0.9976807236671448), ('CREANG2000', 0.8681296110153198), ('PHARMACIST', 0.9938556551933289), ('FORMULATED', 0.9733136892318726)]",G:\My Drive\Colab Notebooks\git\images\31MSh7g6jHL.jpg
31NiVVfrtkL,"[('171 cm(67.3"" )', 0.9687269330024719), ('30 cm(11.8"")', 0.9600855708122253), ('36 cm(14.2""', 0.9898779392242432)]",G:\My Drive\Colab Notebooks\git\images\31NiVVfrtkL.jpg
31KlXBXzjXL,"[('9.8 in/25 cm', 0.9290318489074707), ('5.9 in/15 cm', 0.861943781375885)]",G:\My Drive\Colab Notebooks\git\images\31KlXBXzjXL.jpg
31OGzioE0UL,"[('F', 0.8320692181587219), ('F', 0.7460125088691711), ('GEORR', 0.5369128584861755), ('BASEBALL LEG GUARD', 0.955059289932251), ('ADULT SIZE', 0.957586944103241), ('5\'4"" and above', 0.8803998231887817)]",G:\My Drive\Colab Notebooks\git\images\31OGzioE0UL.jpg
31O4GOJtw7L,"[('Ultralight2.65lbs.&Only 0.63""Thin', 0.9663572907447815)]",G:\My Drive\Colab Notebooks\git\images\31O4GOJtw7L.jpg
31OKYNffHBL,"[('70.1', 0.9927391409873962), ('24.8', 0.988813042640686)]",G:\My Drive\Colab Notebooks\git\images\31OKYNffHBL.jpg
31PPUpj2BtL,"[('Abib', 0.9976603984832764), ('Heartleaf spot pad', 0.9705693125724792), ('Calming touch', 0.9857239127159119), ('Houttuynia Cordata', 0.9629993438720703), ('Extract', 0.995488166809082), ('5.07H.oz.150ml/80pads', 0.8857794404029846)]",G:\My Drive\Colab Notebooks\git\images\31PPUpj2BtL.jpg
31PmhS8ygDS,"[('Product parameters', 0.9943826198577881), ('185mm', 0.9993541836738586), ('Name:pet floating water bowl', 0.9616498351097107), ('Color:gray/White/Blue/Pink', 0.9729155898094177), ('Weight:580g', 0.9504165053367615), ('78', 0.9982282519340515), ('mm', 0.9995022416114807), ('Volume:1L', 0.9762710928916931), ('Material:ABS &PP', 0.9392080307006836), ('225mm', 0.9992243647575378)]",G:\My Drive\Colab Notebooks\git\images\31PmhS8ygDS.jpg
31OsmI6X0iL,"[('NIOL', 0.8462647199630737), ('2I2N', 0.6052299737930298), ('30IN', 0.9841445088386536), ('16IN', 0.9870438575744629)]",G:\My Drive\Colab Notebooks\git\images\31OsmI6X0iL.jpg
31OAkCZ7OVL,"[('DIMENSIONS', 0.9971538782119751), ('DANA', 0.9986557960510254), ('TABLELAMP', 0.9958941340446472), ('21881', 0.9991748929023743), ('Translucent porcelain base', 0.9962114095687866), ('complete with carving', 0.9686322212219238), ('7.87in', 0.9959837794303894), ('E12,1Max 25W', 0.931298017501831), ('Bulb not included', 0.9693918824195862), ('3.54in', 0.9928724765777588)]",G:\My Drive\Colab Notebooks\git\images\31OAkCZ7OVL.jpg
31MRd8GBmjL,"[('9KG', 0.990848958492279), ('20LB', 0.9637997150421143)]",G:\My Drive\Colab Notebooks\git\images\31MRd8GBmjL.jpg
31LwkMqi+DL,"[('MINI MAKER WAFFLE', 0.9459889531135559), ('Cookng SurfaceNon-Stick|350 W', 0.9073446393013)]",G:\My Drive\Colab Notebooks\git\images\31LwkMqi+DL.jpg
31LdY2um+OL,"[('MYPROTEIN', 0.9957877397537231), ('IMPACT', 0.9957178235054016), ('WHEY', 0.9928755164146423), ('PROTEIN', 0.9970564842224121), ('Ag OLUTAMINE', 0.834540605545044), ('EBCAA', 0.7046725749969482), ('NET WT.88OZ', 0.9045402407646179), ('5.5LB2.5KG', 0.9193401336669922)]",G:\My Drive\Colab Notebooks\git\images\31LdY2um+OL.jpg
31NGa8b9Q0L,"[('Wild Salmon Oil', 0.9592161178588867), ('from Alaska', 0.9603420495986938), ('for dogs', 0.9562562108039856), ('F dry anc idy sin', 0.7287154197692871), ('For st ay on', 0.5741239190101624), ('250ML', 0.9519619941711426)]",G:\My Drive\Colab Notebooks\git\images\31NGa8b9Q0L.jpg
31LYuCcf6bL,"[('FoodLab', 0.9238651990890503), (""Glo's Gumbo LLC-Glo's Gumbo 16oz"", 0.9355967044830322)]",G:\My Drive\Colab Notebooks\git\images\31LYuCcf6bL.jpg
31LAzzOrUkL,"[('15.72in/40.0 cm', 0.9615693688392639), ('8.65 in/22.0cm', 0.959924042224884)]",G:\My Drive\Colab Notebooks\git\images\31LAzzOrUkL.jpg
